Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
MGLU3,ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,2.12,2023-12-22,1.33,4.53,368464000,14307700000,18426200000,2023-09-30,6748930000,-3598,150,1394,038,039,609,-181,0.0%,795,1795,19.5%,-006,141,28.5%,2.7%,-1.1%,2.8%,4.2%,-4.2%,114,078,101,36919000000,3284850000,19475800000,7403320000,4118460000,9532650000,37385800000,1026480000,-397650000,8578820000,216277000,331229000,,,,,,
PETR4,PN,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",36.74,2023-12-22,17.47,37.17,1694420000,479255000000,717559000000,2023-09-30,13044500000,350,124,199,089,047,-6601,-098,19.7%,227,298,20.3%,1050,2959,51.1%,44.9%,25.6%,23.5%,25.8%,35.5%,095,079,052,1025500000000,67147000000,147311000000,305451000000,238304000000,386007000000,536315000000,240889000000,136904000000,124828000000,58099000000,26625000000,,,,,,
PETR3,ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",38.62,2023-12-22,20.46,40.19,423154000,503778000000,742082000000,2023-09-30,13044500000,368,131,209,094,049,-6939,-103,18.8%,235,308,20.3%,1050,2959,51.1%,44.9%,25.6%,23.5%,25.8%,35.5%,095,079,052,1025500000000,67147000000,147311000000,305451000000,238304000000,386007000000,536315000000,240889000000,136904000000,124828000000,58099000000,26625000000,,,,,,
VALE3,ON NM,VALE ON NM,Mineração,Minerais Metálicos,76.39,2023-12-22,59.31,90.84,1751010000,346735000000,396856000000,2023-09-30,4539010000,730,182,434,168,078,6730,-199,8.0%,414,496,10.7%,1047,4190,40.1%,38.8%,23.3%,17.9%,20.1%,25.0%,108,037,046,445621000000,20168000000,73474000000,70289000000,50121000000,190172000000,206296000000,79954000000,47517000000,51962000000,20379000000,13864000000,,,,,,
HAPV3,ON NM,HAPVIDA ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,4.35,2023-12-22,1.94,5.28,346214000,32796700000,38274800000,2023-09-30,7539460000,-3202,067,93998,122,044,7703,-196,0.0%,1708,109699,52.9%,-014,651,24.4%,0.1%,-3.8%,0.0%,0.1%,-2.1%,105,022,036,74771900000,5420110000,8911270000,10898200000,5478120000,49114400000,26950300000,34890800,-1024390000,6881860000,124161000,-205669000,,,,,,
BBDC4,PN N1,BANCO BRADESCO S.A. PN N1,Intermediários Financeiros,Bancos,16.83,2023-12-22,11.90,16.96,696389000,179108000000,-,2023-09-30,10642200000,1206,111,-,-,-,-,-,10.1%,-,-,-14.5%,140,1511,-,-,0.0%,0.0%,-,9.2%,-,-,-,1570360000000,,,,,160801000000,,,14855400000,,,4621120000,0,0,17726000000,20849100000,5656430000,5086640000
ITUB4,PN N1,ITAUUNIBANCO PN N1,Intermediários Financeiros,Bancos,33.31,2023-12-22,22.34,33.31,800244000,326576000000,-,2023-09-30,9804140000,1050,186,-,-,-,-,-,3.8%,-,-,28.6%,317,1789,-,-,0.0%,0.0%,-,17.7%,-,-,-,407542000000,,,,,175414000000,,,31090000000,,,7628000000,135302000000,80395000000,5578000000,8757000000,1569000000,2657000000
BBAS3,ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,54.44,2023-12-22,29.93,54.85,540911000,155993000000,-,2023-09-30,2865420000,467,097,-,-,-,-,-,8.4%,-,-,23.8%,1167,5601,-,-,0.0%,0.0%,-,20.8%,-,-,-,2270910000000,,,,,160489000000,,,33430300000,,,8391100000,0,0,53112700000,21006800000,13578300000,5401990000
ABEV3,ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,13.71,2023-12-22,11.77,14.89,359997000,215985000000,202062000000,2023-09-30,15753800000,1432,239,1270,262,157,5827,-2454,5.3%,875,1188,13.2%,096,573,50.3%,20.6%,18.8%,12.3%,16.5%,16.7%,111,004,060,137914000000,17641100000,37552700000,3717670000,-13923400000,90254900000,82440700000,17003900000,15081200000,20317800000,4438050000,3911740000,,,,,,
RENT3,ON,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros,64.52,2023-12-22,49.08,69.82,414379000,68913500000,97140100000,2023-09-30,1068090000,4460,274,1299,256,093,26478,-205,1.7%,1003,1831,27.0%,145,2359,29.0%,19.7%,5.7%,7.2%,9.0%,6.1%,102,146,036,73841900000,8494350000,15103900000,36721000000,28226600000,25191500000,26879300000,5306280000,1545150000,7321960000,1632190000,665027000,,,,,,
LREN3,ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",17.71,2023-12-22,11.84,22.20,317382000,17058800000,15945800000,2023-09-30,963227000,1832,175,613,127,085,355,1132,4.1%,413,573,13.7%,097,1014,60.2%,20.8%,7.0%,14.0%,18.4%,9.5%,170,022,067,19959800000,3273810000,11701900000,2160820000,-1112990000,9765090000,13390600000,2784420000,931191000,3097100000,553390000,172902000,,,,,,
B3SA3,ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,14.51,2023-12-22,10.18,15.05,503507000,81930700000,78576800000,2023-09-30,5646500000,1941,405,1516,780,171,1502,-787,2.8%,1214,1454,14.5%,075,358,85.7%,51.5%,40.2%,11.3%,16.5%,20.9%,146,057,022,47872700000,14931000000,17212900000,11577000000,-3353960000,20233800000,10501500000,5405910000,4220220000,2490080000,1346050000,1074240000,,,,,,
SUZB3,ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,54.94,2023-12-22,37.26,57.42,348682000,72747000000,130824000000,2023-09-30,1324120000,427,174,513,166,051,295,-118,2.1%,605,922,20.0%,1286,3154,42.6%,32.4%,39.0%,10.0%,12.3%,40.8%,282,188,031,141618000000,20473700000,38226600000,78551000000,58077300000,41762300000,43753700000,14190500000,17033900000,8948010000,1699290000,-732993000,,,,,,
NTCO3,ON NM,GRUPO NATURA ON NM,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,16.41,2023-12-22,10.12,18.34,162691000,22758200000,22195700000,2023-09-30,1386850000,479,081,1471,069,045,290,-450,0.0%,559,1434,-5.9%,343,2021,65.0%,4.7%,14.4%,3.1%,4.0%,16.9%,182,022,065,50570800000,6773350000,17463100000,6210900000,-562448000,28029100000,33001100000,1547590000,4750110000,7517260000,378879000,7024430000,,,,,,
GNDI3,ON NM,INTERMEDICA ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,66.95,2022-02-11,55.49,85.40,0,41526500000,43473000000,2021-09-30,620261000,-358482,584,8705,342,238,7965,-621,2.4%,5088,9113,25.2%,-002,1147,18.5%,3.9%,-0.1%,2.7%,3.1%,-0.2%,117,053,069,17466000000,1832990000,3660280000,3779540000,1946550000,7116080000,12131600000,477037000,-11584000,3220490000,45370000,-90684000,,,,,,
RADL3,ON,RAIADROGASIL ON,Comércio e Distribuição,Medicamentos e Outros Produtos,28.89,2023-12-22,21.29,29.51,166318000,49633200000,52118200000,2023-09-30,1718010000,4598,867,2476,151,256,1371,-2186,1.1%,1432,2600,18.6%,063,333,30.0%,6.1%,3.3%,10.3%,14.2%,18.9%,147,054,170,19386500000,619524000,11320800000,3104470000,2484940000,5721820000,32885700000,2004490000,1079360000,8675810000,488973000,263685000,,,,,,
CYRE3,PN,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações,24.22,2023-12-22,11.69,25.33,127212000,9681780000,11955800000,2023-09-30,399743000,1073,124,1239,164,057,167,3019,3.5%,1475,1530,11.2%,226,1947,32.1%,13.2%,15.2%,4.6%,5.5%,11.6%,293,063,035,17023200000,2652030000,8804030000,4926020000,2273990000,7782360000,5913380000,781189000,901981000,1625990000,239858000,251319000,,,,,,
